customer_id,age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,Mortgage,Pension,Savings
15,45,12,45,0,0,0,0,65,13453,2,33,36,0,4,2,1,14,19,7.602,0,0,0
16,43,12,43,0,0,0,0,65,13453,2,34,36,0,0,3,2,14,19,10.143,0,0,0
30,23,0,23,0,0,0,0,65,13453,2,30,36,0,1,0,0,14,19,0,1,1,1
42,35,8,35,1,0,0,0,65,13453,2,22,24,0,1,0,0,14,19,0,1,1,1
52,43,12,43,1,0,0,0,47,14124,3,40,48,3,1,0,0,16,35,0,1,1,1
57,51,19,51,1,0,0,0,50,14838,2,33,36,3,0,0,0,9,39,0,1,1,1
74,31,0,31,1,0,0,0,50,14838,3,0,12,3,3,0,0,9,39,0,1,1,1
74,31,0,31,1,0,0,0,50,14838,3,0,12,3,3,0,0,9,39,0,1,1,1
89,46,11,46,1,0,0,0,32,14783,2,6,12,6,3,2,1,25,42,7.799,0,0,0
90,70,38,70,0,0,0,0,32,14783,1,35,36,6,2,2,2,25,42,11.803,0,0,0
95,39,11,39,1,0,0,0,32,14783,2,16,24,6,2,4,3,25,42,12.407,0,0,0
105,31,0,31,0,0,0,0,32,14783,2,17,24,6,0,0,0,25,42,0,1,1,1
106,36,7,36,0,0,0,0,32,14783,2,-1,0,6,1,0,0,25,42,0,1,1,1
121,49,18,49,0,0,0,0,77,15494,7,28,36,1,1,2,1,6,16,10.352,0,0,0
132,38,11,38,0,0,0,0,38,15512,5,30,36,5,1,5,4,11,49,13.587,0,0,0
139,38,9,38,1,0,0,0,60,15535,7,19,24,1,1,0,0,15,24,0,1,1,1
147,37,7,37,1,0,0,0,58,15562,7,11,24,1,0,0,0,10,31,0,1,1,1
155,42,14,42,0,0,0,0,58,15562,7,-2,0,1,2,0,0,10,31,0,1,1,1
156,34,5,34,1,0,0,0,58,15562,7,27,36,1,0,0,0,10,31,0,1,1,1
161,54,29,54,1,0,0,0,42,15576,1,39,48,4,0,2,1,17,40,7.702,0,0,0
164,35,6,35,0,0,0,0,42,15576,2,-3,0,4,1,1,0,17,40,0,1,1,1
181,77,48,77,1,0,0,0,60,16292,2,36,48,1,2,4,3,16,23,9.792,0,0,0
183,57,28,57,0,0,0,0,60,16292,2,15,24,1,7,1,1,16,23,10.299,0,0,0
191,24,0,24,0,0,0,0,60,16287,3,17,24,1,1,0,0,7,32,0,1,1,1
193,40,10,40,0,0,0,0,60,16287,3,41,48,1,0,1,1,7,32,11.563,0,0,0
199,37,3,37,0,0,0,0,60,16287,3,39,48,1,0,0,0,7,32,0,1,1,1
203,46,17,46,0,0,0,0,41,16347,7,30,36,4,1,0,0,11,46,0,1,1,1
204,18,0,18,0,0,0,0,41,16347,7,19,24,4,1,5,5,11,46,11.929,0,0,0
210,42,13,42,0,0,0,0,57,16959,2,40,48,2,2,3,2,9,33,9.571,0,0,0
210,42,13,42,0,0,0,0,57,16959,2,40,48,2,2,3,2,9,33,9.571,0,0,0
222,29,2,29,1,0,0,0,66,17202,6,26,36,0,1,0,0,7,26,0,1,1,1
234,29,0,29,0,0,0,0,52,17570,5,22,24,3,0,0,0,12,35,0,1,1,1
236,41,13,41,1,0,0,0,61,17790,7,27,36,1,1,3,2,6,31,13.441,0,0,0
236,41,13,41,1,0,0,0,61,17790,7,27,36,1,1,3,2,6,31,13.441,0,0,0
252,43,14,43,0,0,0,0,61,17790,7,6,12,1,0,0,0,6,31,0,1,1,1
257,55,26,55,0,0,0,0,61,17790,6,7,12,1,1,0,0,6,31,0,1,1,1
259,34,4,34,0,0,0,0,61,17790,7,18,24,1,1,0,0,6,31,0,1,1,1
260,47,15,47,0,0,0,0,61,17790,7,13,24,1,0,0,0,6,31,0,1,1,1
265,50,24,50,1,0,0,0,61,17790,6,27,36,1,0,1,1,6,31,9.199,0,0,0
265,50,24,50,1,0,0,0,61,17790,6,27,36,1,0,1,1,6,31,9.199,0,0,0
281,34,5,34,1,0,0,0,54,17751,2,6,12,2,0,3,1,6,39,7.589,0,0,0
289,50,21,50,1,0,0,0,51,17774,3,21,24,3,4,4,3,5,43,10.327,0,0,0
290,45,18,45,0,0,0,0,51,17774,4,5,12,3,0,4,2,5,43,8.555,0,0,0
295,50,19,50,0,0,0,0,51,17774,3,5,12,3,1,3,2,5,43,8.461,0,0,0
301,46,20,46,1,0,0,0,51,17774,3,36,48,3,1,4,3,5,43,10.257,0,0,0
53200,40,15,40,0,0,0,0,54,51938,7,10,12,2,1,5,9,11,34,15.672,0,0,0
53214,43,13,43,1,0,0,0,59,51862,7,17,24,2,1,3,2,8,32,11.251,0,0,0
53226,43,12,43,1,0,0,0,50,51929,6,8,12,3,2,1,1,15,34,11.816,0,0,0
53226,43,12,43,1,0,0,0,50,51929,6,8,12,3,2,1,1,15,34,11.816,0,0,0
53233,43,13,43,0,0,0,0,52,51915,5,22,24,3,1,2,1,12,34,9.312,0,0,0
53237,44,14,44,1,0,0,0,39,51925,6,-6,0,5,0,0,0,20,39,0,1,1,1
53237,44,14,44,1,0,0,0,39,51925,6,-6,0,5,0,0,0,20,39,0,1,1,1
53251,47,17,47,0,0,0,0,47,51932,2,22,24,4,1,0,0,13,39,0,1,1,1
53267,33,6,33,1,0,0,0,48,51901,4,39,48,3,2,3,2,24,26,8.449,0,0,0
53283,38,9,38,1,0,0,0,36,51911,5,15,24,5,0,0,0,10,52,0,1,1,1
53300,38,6,38,1,0,0,0,59,51868,2,31,36,1,0,0,0,13,27,0,1,1,1
53300,38,6,38,1,0,0,0,59,51868,2,31,36,1,0,0,0,13,27,0,1,1,1
53301,47,14,47,1,0,0,0,44,51852,5,25,36,4,0,2,1,11,44,7.856,0,0,0
53302,50,23,50,0,0,0,0,53,51915,6,20,24,2,0,0,0,15,31,0,1,1,1
53305,34,2,34,0,0,0,0,50,51930,7,39,48,3,0,3,2,11,37,8.525,0,0,0
53311,37,4,37,0,0,0,0,56,51909,4,12,24,2,0,3,2,6,36,9.686,0,0,0
53331,52,23,52,0,0,0,0,62,51890,2,26,36,1,0,0,0,11,26,0,1,1,1
53334,51,15,51,0,0,0,0,74,51926,6,40,48,0,0,2,1,8,16,7.906,0,0,0
53342,52,23,52,1,0,0,0,30,51924,6,-3,0,6,2,0,0,9,59,0,1,1,1
53351,42,10,42,0,0,0,0,59,51934,3,33,36,1,2,0,0,8,31,0,1,1,1
53356,52,24,52,1,0,0,0,55,51923,5,25,36,2,1,3,2,5,39,9.65,0,0,0
53357,59,31,59,1,0,0,0,64,51914,4,31,36,1,4,3,3,7,28,12.189,0,0,0
53358,20,0,20,1,0,0,0,51,51929,4,34,36,3,0,0,0,14,34,0,1,1,1
53366,44,16,44,1,0,0,0,53,51863,3,27,36,2,3,2,1,11,34,7.422,0,0,0
53366,44,16,44,1,0,0,0,53,51863,3,27,36,2,3,2,1,11,34,7.422,0,0,0
53382,32,4,32,1,0,0,0,67,51894,3,35,36,0,0,0,0,8,24,0,1,1,1
53384,30,0,30,0,0,0,0,52,51934,7,37,48,3,1,4,1,11,35,13.219,0,0,0
53388,42,13,42,0,0,0,0,20,51912,7,36,48,8,0,3,2,13,65,11.967,0,0,0
53390,49,22,49,0,0,0,0,53,51886,4,33,36,3,0,3,1,10,35,11.84,0,0,0
53394,37,8,37,1,0,0,0,50,51919,2,37,48,3,0,0,0,18,30,0,1,1,1
53398,39,8,39,0,0,0,0,53,51949,3,17,24,2,0,0,0,4,41,0,1,1,1
